编号,模块,测试方法,输入/操作,预期输出,真实输出,测试结论
TC-001,用户注册模块,等价类,Name+未注册Email，提交 Signup,进入 Account Information 注册页,,
TC-002,用户注册模块,等价类,填完整有效账号资料并提交,显示 Account Created!，注册成功,,
TC-003,用户注册模块,等价类,使用已注册 Email 注册,提示 Email Address already exist!,,
TC-004,用户注册模块,边界值,Name 空白提交 Signup,浏览器必填提示，无法提交,,
TC-005,用户注册模块,边界值,Email 空白提交 Signup,浏览器必填提示，无法提交,,
TC-006,用户注册模块,等价类,Email 格式错误(缺 @),前端 Email 格式验证提示,,
TC-007,用户注册模块,等价类,Email 格式错误(缺域名),前端 Email 格式验证提示,,
TC-008,用户注册模块,边界值,Name 输入单一字符,可接受并进入下一步,,
TC-009,用户注册模块,边界值,Name 输入 255 字超长字串,正常处理或合理截断，不崩溃,,
TC-010,用户注册模块,等价类,Password 空白提交账号表单,必填提示，无法创建账号,,
TC-011,用户注册模块,边界值,Password 仅 1 字符,依规则处理，创建或提示密码太短,,
TC-012,用户注册模块,边界值,Password 超长(64+字符),正常处理不崩溃,,
TC-013,用户注册模块,等价类,未选 Title(Mr/Mrs)直接提交,可创建或提示，行为一致,,
TC-014,用户注册模块,等价类,选择出生日期 日/月/年,下拉可正常选取并保存,,
TC-015,用户注册模块,边界值,出生年选最小值,可选取并提交,,
TC-016,用户注册模块,等价类,勾选 Sign up for newsletter,勾选状态被记录,,
TC-017,用户注册模块,等价类,勾选 Receive special offers,勾选状态被记录,,
TC-018,用户注册模块,等价类,First/Last name 空白提交,必填提示，无法创建,,
TC-019,用户注册模块,等价类,Address1 空白提交,必填提示，无法创建,,
TC-020,用户注册模块,等价类,选择 Country 下拉,国家清单可选取,,
TC-021,用户注册模块,边界值,Zipcode 输入非数字,依规则接受或提示,,
TC-022,用户注册模块,边界值,Mobile Number 输入字母,依规则接受或提示,,
TC-023,用户注册模块,边界值,Mobile Number 超长数字,正常处理不崩溃,,
TC-024,用户注册模块,安全性,Name 栏输入 <script>alert(1)</script>,输入被转义，不执行脚本,,
TC-025,用户注册模块,安全性,Email 栏输入 SQL 注入字串,注册失败且不泄露数据库错误,,
TC-026,用户注册模块,等价类,所有栏位填中文字符,正确显示与保存不乱码,,
TC-027,用户注册模块,等价类,Address 栏含特殊字符(#&'),正确接受并保存,,
TC-028,用户注册模块,场景法,注册成功后点 Continue,导回首页并显示 Logged in as,,
TC-029,用户注册模块,场景法,注册成功→登出→以新账号登录,可成功登录,,
TC-030,用户注册模块,场景法,注册成功后删除账号 Delete Account,显示 Account Deleted!,,
TC-031,用户登录模块,等价类,正确 Email + 正确密码,登录成功，显示 Logged in as <name>,,
TC-032,用户登录模块,等价类,正确 Email + 错误密码,提示 Your email or password is incorrect!,,
TC-033,用户登录模块,等价类,未注册 Email + 任意密码,提示账密错误，登录失败,,
TC-034,用户登录模块,边界值,Email 与密码皆空白提交,必填提示，无法提交,,
TC-035,用户登录模块,边界值,仅填 Email 不填密码,必填提示，无法提交,,
TC-036,用户登录模块,边界值,仅填密码不填 Email,必填提示，无法提交,,
TC-037,用户登录模块,等价类,Email 格式错误(缺 @),前端 Email 格式提示,,
TC-038,用户登录模块,边界值,密码仅 1 字符,登录失败，提示账密错误,,
TC-039,用户登录模块,边界值,密码超长(64+字符),登录失败不崩溃,,
TC-040,用户登录模块,等价类,Email 大小写混合(已注册),依系统规则判定一致,,
TC-041,用户登录模块,等价类,Email 前后含空白,trim 后判定或提示,,
TC-042,用户登录模块,安全性,Email 栏 ' OR '1'='1' --,登录失败，不泄露数据库错误,,
TC-043,用户登录模块,安全性,密码栏 ' OR '1'='1' --,登录失败，不绕过验证,,
TC-044,用户登录模块,安全性,Email 栏 <script>alert(1)</script>,输入被转义，不执行脚本,,
TC-045,用户登录模块,场景法,登录成功后点 Logout,登出并回到登录页,,
TC-046,用户登录模块,场景法,登录→关闭再开启页面,依 session 规则维持或需重新登录,,
TC-047,用户登录模块,场景法,未登录访问需登录页(checkout),导向登录或提示,,
TC-048,用户登录模块,等价类,连续多次错误密码,持续提示错误(观察是否锁定),,
TC-049,用户登录模块,等价类,已删除账号再登录,登录失败，提示账密错误,,
TC-050,用户登录模块,兼容性,于 Chrome 登录,功能正常,,
TC-051,用户登录模块,兼容性,于 Firefox 登录,功能正常,,
TC-052,用户登录模块,兼容性,于移动设备宽度登录,版面正常可操作,,
TC-053,用户登录模块,等价类,密码含特殊字符(正确),登录成功,,
TC-054,用户登录模块,边界值,Email 超长(100+字符),登录失败不崩溃,,
TC-055,用户登录模块,场景法,登录后加入购物车再登出,购物车状态依规则处理,,
TC-056,用户登录模块,等价类,浏览器自动填入账密登录,可成功登录,,
TC-057,用户登录模块,等价类,复制粘贴账密登录,可成功登录,,
TC-058,用户登录模块,场景法,登录页同时测 Signup 区块互不干扰,两表单独立运作,,
TC-059,商品搜索模块,等价类,搜索有效关键字 top,显示相关商品清单,,
TC-060,商品搜索模块,等价类,搜索有效关键字 dress,显示相关商品清单,,
TC-061,商品搜索模块,等价类,搜索有效关键字 jeans,显示相关商品清单,,
TC-062,商品搜索模块,边界值,搜索框空白直接提交,显示全部或提示输入关键字,,
TC-063,商品搜索模块,等价类,搜索不存在关键字 zzzzz,显示无结果或空清单,,
TC-064,商品搜索模块,等价类,搜索部分关键字 to,显示符合的商品,,
TC-065,商品搜索模块,等价类,大小写混合 ToP,结果与小写一致(不分大小写),,
TC-066,商品搜索模块,边界值,关键字前后含空白,trim 后正常搜索,,
TC-067,商品搜索模块,边界值,单一字符 a,显示包含 a 的商品,,
TC-068,商品搜索模块,边界值,超长关键字(200+字符),正常处理不崩溃,,
TC-069,商品搜索模块,等价类,纯数字关键字 123,显示结果或无结果,,
TC-070,商品搜索模块,等价类,含特殊字符 @#$,正常处理不崩溃,,
TC-071,商品搜索模块,安全性,输入 <script>alert(1)</script>,被转义不执行脚本,,
TC-072,商品搜索模块,安全性,输入 ' OR '1'='1,不泄露错误，安全处理,,
TC-073,商品搜索模块,等价类,中文关键字搜索,正确处理不乱码,,
TC-074,商品搜索模块,场景法,搜索后显示 Searched Products 标题,正确显示标题与结果数,,
TC-075,商品搜索模块,场景法,搜索结果点 View Product,进入商品详情页,,
TC-076,商品搜索模块,场景法,搜索结果加入购物车,成功加入并可于购物车看到,,
TC-077,商品搜索模块,等价类,含前后空白关键字搜索,正确 trim 并搜索,,
TC-078,商品搜索模块,等价类,关键字含大量空白,正常处理,,
TC-079,商品搜索模块,场景法,重复提交同一搜索,结果一致,,
TC-080,商品搜索模块,场景法,搜索后再清空重新搜索,结果正确更新,,
TC-081,商品搜索模块,兼容性,移动设备宽度搜索,版面正常可操作,,
TC-082,商品搜索模块,等价类,搜索品牌名称(如 Polo),显示相关商品,,
TC-083,商品搜索模块,等价类,搜索类别字 men/women,显示相关商品,,
TC-084,商品浏览与详情模块,场景法,点 Products 进入商品列表,显示 All Products 清单,,
TC-085,商品浏览与详情模块,场景法,点任一商品 View Product,进入商品详情页,,
TC-086,商品浏览与详情模块,等价类,详情页显示名称/价格/类别,信息完整正确显示,,
TC-087,商品浏览与详情模块,等价类,详情页显示 Availability/Condition/Brand,信息正确显示,,
TC-088,商品浏览与详情模块,边界值,详情页数量输入 1,可加入购物车,,
TC-089,商品浏览与详情模块,边界值,详情页数量输入 0,拒绝或提示无效数量,,
TC-090,商品浏览与详情模块,边界值,详情页数量输入负数,拒绝或提示无效,,
TC-091,商品浏览与详情模块,边界值,详情页数量输入很大值(999),正常处理不崩溃,,
TC-092,商品浏览与详情模块,等价类,详情页数量输入非数字,拒绝或提示,,
TC-093,商品浏览与详情模块,场景法,详情页 Add to cart 指定数量,购物车数量与输入相符,,
TC-094,商品浏览与详情模块,场景法,左侧 Category 展开 Women,显示子类别,,
TC-095,商品浏览与详情模块,场景法,点 Category 子类别,显示该类别商品,,
TC-096,商品浏览与详情模块,场景法,右侧 Brands 点任一品牌,显示该品牌商品,,
TC-097,商品浏览与详情模块,等价类,商品图片正常加载,图片显示不破图,,
