编号,模块,测试方法,输入/操作,预期输出,真实输出,测试结论
TC-059,商品搜索模块,等价类,搜索有效关键字 top,显示相关商品清单,,
TC-060,商品搜索模块,等价类,搜索有效关键字 dress,显示相关商品清单,,
TC-061,商品搜索模块,等价类,搜索有效关键字 jeans,显示相关商品清单,,
TC-062,商品搜索模块,边界值,搜索框空白直接提交,显示全部或提示输入关键字,,
TC-063,商品搜索模块,等价类,搜索不存在关键字 zzzzz,显示无结果或空清单,,
TC-064,商品搜索模块,等价类,搜索部分关键字 to,显示符合的商品,,
TC-065,商品搜索模块,等价类,大小写混合 ToP,结果与小写一致(不分大小写),,
TC-066,商品搜索模块,边界值,关键字前后含空白,trim 后正常搜索,,
TC-067,商品搜索模块,边界值,单一字符 a,显示包含 a 的商品,,
TC-068,商品搜索模块,边界值,超长关键字(200+字符),正常处理不崩溃,,
TC-069,商品搜索模块,等价类,纯数字关键字 123,显示结果或无结果,,
TC-070,商品搜索模块,等价类,含特殊字符 @#$,正常处理不崩溃,,
TC-071,商品搜索模块,安全性,输入 <script>alert(1)</script>,被转义不执行脚本,,
TC-072,商品搜索模块,安全性,输入 ' OR '1'='1,不泄露错误，安全处理,,
TC-073,商品搜索模块,等价类,中文关键字搜索,正确处理不乱码,,
TC-074,商品搜索模块,场景法,搜索后显示 Searched Products 标题,正确显示标题与结果数,,
TC-075,商品搜索模块,场景法,搜索结果点 View Product,进入商品详情页,,
TC-076,商品搜索模块,场景法,搜索结果加入购物车,成功加入并可于购物车看到,,
TC-077,商品搜索模块,等价类,含前后空白关键字搜索,正确 trim 并搜索,,
TC-078,商品搜索模块,等价类,关键字含大量空白,正常处理,,
TC-079,商品搜索模块,场景法,重复提交同一搜索,结果一致,,
TC-080,商品搜索模块,场景法,搜索后再清空重新搜索,结果正确更新,,
TC-081,商品搜索模块,兼容性,移动设备宽度搜索,版面正常可操作,,
TC-082,商品搜索模块,等价类,搜索品牌名称(如 Polo),显示相关商品,,
TC-083,商品搜索模块,等价类,搜索类别字 men/women,显示相关商品,,
