编号,模块,测试方法,输入/操作,预期输出,真实输出,测试结论
TC-001,用户注册模块,等价类,Name+未注册Email，提交 Signup,进入 Account Information 注册页,,
TC-002,用户注册模块,等价类,填完整有效账号资料并提交,显示 Account Created!，注册成功,,
TC-003,用户注册模块,等价类,使用已注册 Email 注册,提示 Email Address already exist!,,
TC-004,用户注册模块,边界值,Name 空白提交 Signup,浏览器必填提示，无法提交,,
TC-005,用户注册模块,边界值,Email 空白提交 Signup,浏览器必填提示，无法提交,,
TC-006,用户注册模块,等价类,Email 格式错误(缺 @),前端 Email 格式验证提示,,
TC-007,用户注册模块,等价类,Email 格式错误(缺域名),前端 Email 格式验证提示,,
TC-008,用户注册模块,边界值,Name 输入单一字符,可接受并进入下一步,,
TC-009,用户注册模块,边界值,Name 输入 255 字超长字串,正常处理或合理截断，不崩溃,,
TC-010,用户注册模块,等价类,Password 空白提交账号表单,必填提示，无法创建账号,,
TC-011,用户注册模块,边界值,Password 仅 1 字符,依规则处理，创建或提示密码太短,,
TC-012,用户注册模块,边界值,Password 超长(64+字符),正常处理不崩溃,,
TC-013,用户注册模块,等价类,未选 Title(Mr/Mrs)直接提交,可创建或提示，行为一致,,
TC-014,用户注册模块,等价类,选择出生日期 日/月/年,下拉可正常选取并保存,,
TC-015,用户注册模块,边界值,出生年选最小值,可选取并提交,,
TC-016,用户注册模块,等价类,勾选 Sign up for newsletter,勾选状态被记录,,
TC-017,用户注册模块,等价类,勾选 Receive special offers,勾选状态被记录,,
TC-018,用户注册模块,等价类,First/Last name 空白提交,必填提示，无法创建,,
TC-019,用户注册模块,等价类,Address1 空白提交,必填提示，无法创建,,
TC-020,用户注册模块,等价类,选择 Country 下拉,国家清单可选取,,
TC-021,用户注册模块,边界值,Zipcode 输入非数字,依规则接受或提示,,
TC-022,用户注册模块,边界值,Mobile Number 输入字母,依规则接受或提示,,
TC-023,用户注册模块,边界值,Mobile Number 超长数字,正常处理不崩溃,,
TC-024,用户注册模块,安全性,Name 栏输入 <script>alert(1)</script>,输入被转义，不执行脚本,,
TC-025,用户注册模块,安全性,Email 栏输入 SQL 注入字串,注册失败且不泄露数据库错误,,
TC-026,用户注册模块,等价类,所有栏位填中文字符,正确显示与保存不乱码,,
TC-027,用户注册模块,等价类,Address 栏含特殊字符(#&'),正确接受并保存,,
TC-028,用户注册模块,场景法,注册成功后点 Continue,导回首页并显示 Logged in as,,
TC-029,用户注册模块,场景法,注册成功→登出→以新账号登录,可成功登录,,
TC-030,用户注册模块,场景法,注册成功后删除账号 Delete Account,显示 Account Deleted!,,
