编号,模块,测试方法,输入/操作,预期输出,真实输出,测试结论
TC-161,联系我们表单模块,场景法,进入 Contact Us 页,显示 Get In Touch 表单,,
TC-162,联系我们表单模块,等价类,填完整有效资料+消息提交,显示 Success! 已提交,,
TC-163,联系我们表单模块,边界值,Name 空白提交,必填提示,,
TC-164,联系我们表单模块,边界值,Email 空白提交,必填提示,,
TC-165,联系我们表单模块,等价类,Email 格式错误,Email 格式验证提示,,
TC-166,联系我们表单模块,边界值,Subject 空白提交,必填提示,,
TC-167,联系我们表单模块,边界值,Message 空白提交,必填提示,,
TC-168,联系我们表单模块,边界值,Message 输入超长文字,正常处理不崩溃,,
TC-169,联系我们表单模块,等价类,上传文件 Choose File,文件可选取附加,,
TC-170,联系我们表单模块,等价类,不上传文件直接提交,可成功提交,,
TC-171,联系我们表单模块,安全性,Name 栏输入 XSS 字串,被转义不执行,,
TC-172,联系我们表单模块,安全性,Message 栏输入 SQL 注入,安全处理不泄露,,
TC-173,联系我们表单模块,等价类,Name 含中文字符,正确处理不乱码,,
TC-174,联系我们表单模块,等价类,Message 含特殊字符/换行,正确保存提交,,
TC-175,联系我们表单模块,场景法,提交后弹出确认 OK 窗口,点 OK 完成提交,,
TC-176,联系我们表单模块,场景法,提交成功后 Home 返回首页,正确返回,,
TC-177,联系我们表单模块,边界值,Subject 单一字符,可接受提交,,
TC-178,联系我们表单模块,边界值,上传超大文件,依限制提示或处理,,
TC-179,联系我们表单模块,等价类,上传非预期扩展名,依规则处理,,
TC-180,联系我们表单模块,兼容性,移动设备填写联系表单,版面正常,,
TC-181,联系我们表单模块,等价类,Email 前后含空白,trim 后处理或提示,,
TC-182,联系我们表单模块,场景法,重复提交同一表单,皆能正确处理,,
