编号,模块,测试方法,输入/操作,预期输出,真实输出,测试结论
TC-109,购物车模块,场景法,将单一商品加入购物车,显示 Added! 并可于购物车看到,,
TC-110,购物车模块,场景法,加入多个不同商品,购物车列出所有商品,,
TC-111,购物车模块,场景法,同商品加入多次,数量正确累加,,
TC-112,购物车模块,判定表,购物车修改数量(经详情页重加),数量更新正确,,
TC-113,购物车模块,场景法,购物车移除单一商品 X,该商品自清单移除,,
TC-114,购物车模块,场景法,移除购物车所有商品,显示空购物车,,
TC-115,购物车模块,边界值,空购物车按 Proceed To Checkout,提示空车或无法结账,,
TC-116,购物车模块,等价类,购物车显示单价/数量/小计,金额计算正确,,
TC-117,购物车模块,判定表,总计 = 各项小计加总,Total 金额正确,,
TC-118,购物车模块,场景法,未登录点 Proceed To Checkout,提示注册/登录,,
TC-119,购物车模块,场景法,登录后购物车 Proceed To Checkout,进入结账地址确认页,,
TC-120,购物车模块,场景法,加入商品后登出再登录,购物车内容依规则保留,,
TC-121,购物车模块,场景法,加入后刷新页面,购物车内容保留,,
TC-122,购物车模块,边界值,加入大量商品(10+项),清单正确显示不崩溃,,
TC-123,购物车模块,场景法,从搜索结果加入购物车,成功加入,,
TC-124,购物车模块,场景法,从 Recommended items 加入,成功加入,,
TC-125,购物车模块,场景法,购物车 Continue Shopping,返回商品页继续购物,,
TC-126,购物车模块,等价类,购物车数量徽章更新,Cart 数字正确,,
TC-127,购物车模块,判定表,移除部分商品后总计重算,Total 正确更新,,
TC-128,购物车模块,兼容性,移动设备查看购物车,版面正常,,
TC-129,购物车模块,场景法,详情页加入后弹窗 View Cart,正确导向购物车,,
TC-130,购物车模块,场景法,详情页加入后 Continue Shopping,关闭弹窗继续浏览,,
TC-131,购物车模块,等价类,购物车商品图片/名称正确,对应商品无误,,
TC-132,购物车模块,场景法,删除商品后再加入同商品,正确重新加入,,
TC-133,购物车模块,边界值,极短时间连点加入,数量计算正确不重复异常,,
TC-134,购物车模块,场景法,结账前于购物车查看明细,明细与下单一致,,
