編號,模組,測試方法,輸入/操作,預期輸出,真實輸出,測試結論
TC-001,使用者註冊模組,等價類,Name+未註冊Email，送出 Signup,進入 Account Information 註冊頁,,
TC-002,使用者註冊模組,等價類,填完整有效帳號資料並送出,顯示 Account Created!，註冊成功,,
TC-003,使用者註冊模組,等價類,使用已註冊 Email 註冊,提示 Email Address already exist!,,
TC-004,使用者註冊模組,邊界值,Name 空白送出 Signup,瀏覽器必填提示，無法送出,,
TC-005,使用者註冊模組,邊界值,Email 空白送出 Signup,瀏覽器必填提示，無法送出,,
TC-006,使用者註冊模組,等價類,Email 格式錯誤(缺 @),前端 Email 格式驗證提示,,
TC-007,使用者註冊模組,等價類,Email 格式錯誤(缺網域),前端 Email 格式驗證提示,,
TC-008,使用者註冊模組,邊界值,Name 輸入單一字元,可接受並進入下一步,,
TC-009,使用者註冊模組,邊界值,Name 輸入 255 字超長字串,正常處理或合理截斷，不崩潰,,
TC-010,使用者註冊模組,等價類,Password 空白送出帳號表單,必填提示，無法建立帳號,,
TC-011,使用者註冊模組,邊界值,Password 僅 1 字元,依規則處理，建立或提示密碼太短,,
TC-012,使用者註冊模組,邊界值,Password 超長(64+字元),正常處理不崩潰,,
TC-013,使用者註冊模組,等價類,未選 Title(Mr/Mrs)直接送出,可建立或提示，行為一致,,
TC-014,使用者註冊模組,等價類,選擇出生日期 日/月/年,下拉可正常選取並保存,,
TC-015,使用者註冊模組,邊界值,出生年選最小值,可選取並送出,,
TC-016,使用者註冊模組,等價類,勾選 Sign up for newsletter,勾選狀態被記錄,,
TC-017,使用者註冊模組,等價類,勾選 Receive special offers,勾選狀態被記錄,,
TC-018,使用者註冊模組,等價類,First/Last name 空白送出,必填提示，無法建立,,
TC-019,使用者註冊模組,等價類,Address1 空白送出,必填提示，無法建立,,
TC-020,使用者註冊模組,等價類,選擇 Country 下拉,國家清單可選取,,
TC-021,使用者註冊模組,邊界值,Zipcode 輸入非數字,依規則接受或提示,,
TC-022,使用者註冊模組,邊界值,Mobile Number 輸入字母,依規則接受或提示,,
TC-023,使用者註冊模組,邊界值,Mobile Number 超長數字,正常處理不崩潰,,
TC-024,使用者註冊模組,安全性,Name 欄輸入 <script>alert(1)</script>,輸入被轉義，不執行腳本,,
TC-025,使用者註冊模組,安全性,Email 欄輸入 SQL 注入字串,註冊失敗且不外洩資料庫錯誤,,
TC-026,使用者註冊模組,等價類,所有欄位填中文字元,正確顯示與儲存不亂碼,,
TC-027,使用者註冊模組,等價類,Address 欄含特殊字元(#&'),正確接受並保存,,
TC-028,使用者註冊模組,場景法,註冊成功後點 Continue,導回首頁並顯示 Logged in as,,
TC-029,使用者註冊模組,場景法,註冊成功→登出→以新帳號登入,可成功登入,,
TC-030,使用者註冊模組,場景法,註冊成功後刪除帳號 Delete Account,顯示 Account Deleted!,,
TC-031,使用者登入模組,等價類,正確 Email + 正確密碼,登入成功，顯示 Logged in as <name>,,
TC-032,使用者登入模組,等價類,正確 Email + 錯誤密碼,提示 Your email or password is incorrect!,,
TC-033,使用者登入模組,等價類,未註冊 Email + 任意密碼,提示帳密錯誤，登入失敗,,
TC-034,使用者登入模組,邊界值,Email 與密碼皆空白送出,必填提示，無法送出,,
TC-035,使用者登入模組,邊界值,僅填 Email 不填密碼,必填提示，無法送出,,
TC-036,使用者登入模組,邊界值,僅填密碼不填 Email,必填提示，無法送出,,
TC-037,使用者登入模組,等價類,Email 格式錯誤(缺 @),前端 Email 格式提示,,
TC-038,使用者登入模組,邊界值,密碼僅 1 字元,登入失敗，提示帳密錯誤,,
TC-039,使用者登入模組,邊界值,密碼超長(64+字元),登入失敗不崩潰,,
TC-040,使用者登入模組,等價類,Email 大小寫混合(已註冊),依系統規則判定一致,,
TC-041,使用者登入模組,等價類,Email 前後含空白,trim 後判定或提示,,
TC-042,使用者登入模組,安全性,Email 欄 ' OR '1'='1' --,登入失敗，不外洩資料庫錯誤,,
TC-043,使用者登入模組,安全性,密碼欄 ' OR '1'='1' --,登入失敗，不繞過驗證,,
TC-044,使用者登入模組,安全性,Email 欄 <script>alert(1)</script>,輸入被轉義，不執行腳本,,
TC-045,使用者登入模組,場景法,登入成功後點 Logout,登出並回到登入頁,,
TC-046,使用者登入模組,場景法,登入→關閉再開啟頁面,依 session 規則維持或需重新登入,,
