編號,模組,測試方法,輸入/操作,預期輸出,真實輸出,測試結論
TC-059,商品搜尋模組,等價類,搜尋有效關鍵字 top,顯示相關商品清單,,
TC-060,商品搜尋模組,等價類,搜尋有效關鍵字 dress,顯示相關商品清單,,
TC-061,商品搜尋模組,等價類,搜尋有效關鍵字 jeans,顯示相關商品清單,,
TC-062,商品搜尋模組,邊界值,搜尋框空白直接送出,顯示全部或提示輸入關鍵字,,
TC-063,商品搜尋模組,等價類,搜尋不存在關鍵字 zzzzz,顯示無結果或空清單,,
TC-064,商品搜尋模組,等價類,搜尋部分關鍵字 to,顯示符合的商品,,
TC-065,商品搜尋模組,等價類,大小寫混合 ToP,結果與小寫一致(不分大小寫),,
TC-066,商品搜尋模組,邊界值,關鍵字前後含空白,trim 後正常搜尋,,
TC-067,商品搜尋模組,邊界值,單一字元 a,顯示包含 a 的商品,,
TC-068,商品搜尋模組,邊界值,超長關鍵字(200+字元),正常處理不崩潰,,
TC-069,商品搜尋模組,等價類,純數字關鍵字 123,顯示結果或無結果,,
TC-070,商品搜尋模組,等價類,含特殊字元 @#$,正常處理不崩潰,,
TC-071,商品搜尋模組,安全性,輸入 <script>alert(1)</script>,被轉義不執行腳本,,
TC-072,商品搜尋模組,安全性,輸入 ' OR '1'='1,不外洩錯誤，安全處理,,
TC-073,商品搜尋模組,等價類,中文關鍵字搜尋,正確處理不亂碼,,
TC-074,商品搜尋模組,場景法,搜尋後顯示 Searched Products 標題,正確顯示標題與結果數,,
TC-075,商品搜尋模組,場景法,搜尋結果點 View Product,進入商品詳情頁,,
TC-076,商品搜尋模組,場景法,搜尋結果加入購物車,成功加入並可於購物車看到,,
TC-077,商品搜尋模組,等價類,含前後空白關鍵字搜尋,正確 trim 並搜尋,,
TC-078,商品搜尋模組,等價類,關鍵字含大量空白,正常處理,,
TC-079,商品搜尋模組,場景法,重複送出同一搜尋,結果一致,,
TC-080,商品搜尋模組,場景法,搜尋後再清空重新搜尋,結果正確更新,,
TC-081,商品搜尋模組,相容性,行動裝置寬度搜尋,版面正常可操作,,
TC-082,商品搜尋模組,等價類,搜尋品牌名稱(如 Polo),顯示相關商品,,
TC-083,商品搜尋模組,等價類,搜尋類別字 men/women,顯示相關商品,,
