編號,模組,測試方法,輸入/操作,預期輸出,真實輸出,測試結論
TC-135,結帳與下單模組,場景法,登入後進入 Address Details 頁,顯示送貨/帳單地址,,
TC-136,結帳與下單模組,等價類,地址資訊與註冊資料相符,資料正確帶入,,
TC-137,結帳與下單模組,等價類,Review Your Order 顯示商品明細,明細與購物車一致,,
TC-138,結帳與下單模組,邊界值,訂單留言 Comment 空白,可繼續下單,,
TC-139,結帳與下單模組,等價類,訂單留言填寫文字,留言被保存送出,,
TC-140,結帳與下單模組,場景法,點 Place Order 進入付款頁,顯示 Payment 表單,,
TC-141,結帳與下單模組,等價類,填寫有效信用卡資訊送出,顯示訂單成功 placed successfully,,
TC-142,結帳與下單模組,邊界值,卡號空白送出,必填提示，無法下單,,
TC-143,結帳與下單模組,邊界值,卡號填非數字,驗證提示或拒絕,,
TC-144,結帳與下單模組,邊界值,CVC 空白送出,必填提示,,
TC-145,結帳與下單模組,邊界值,CVC 填超過 3-4 位,依規則處理,,
TC-146,結帳與下單模組,邊界值,到期月份空白,必填提示,,
TC-147,結帳與下單模組,邊界值,到期年份空白,必填提示,,
TC-148,結帳與下單模組,等價類,Name on Card 空白,必填提示,,
TC-149,結帳與下單模組,安全性,卡號欄輸入 SQL 注入字串,安全處理不外洩錯誤,,
TC-150,結帳與下單模組,安全性,Name on Card 輸入 XSS,被轉義不執行,,
TC-151,結帳與下單模組,場景法,下單成功後顯示 Order Placed!,顯示成功頁,,
TC-152,結帳與下單模組,場景法,下單成功 Download Invoice,可下載發票檔,,
TC-153,結帳與下單模組,場景法,下單後 Continue 返回首頁,正確返回,,
TC-154,結帳與下單模組,場景法,未登入直接進結帳流程,導向登入/註冊,,
TC-155,結帳與下單模組,場景法,結帳頁 Register / Login 連結,正確導向,,
TC-156,結帳與下單模組,判定表,結帳金額總計正確,Total 與購物車一致,,
TC-157,結帳與下單模組,場景法,下單後購物車清空,購物車回到空狀態,,
TC-158,結帳與下單模組,相容性,行動裝置完成結帳,流程可順利完成,,
TC-159,結帳與下單模組,場景法,結帳途中返回購物車修改,可返回並重新結帳,,
TC-160,結帳與下單模組,場景法,完整下單後刪除帳號清理,帳號刪除成功,,
