編號,模組,測試方法,輸入/操作,預期輸出,真實輸出,測試結論
TC-161,聯絡我們表單模組,場景法,進入 Contact Us 頁,顯示 Get In Touch 表單,,
TC-162,聯絡我們表單模組,等價類,填完整有效資料+訊息送出,顯示 Success! 已送出,,
TC-163,聯絡我們表單模組,邊界值,Name 空白送出,必填提示,,
TC-164,聯絡我們表單模組,邊界值,Email 空白送出,必填提示,,
TC-165,聯絡我們表單模組,等價類,Email 格式錯誤,Email 格式驗證提示,,
TC-166,聯絡我們表單模組,邊界值,Subject 空白送出,必填提示,,
TC-167,聯絡我們表單模組,邊界值,Message 空白送出,必填提示,,
TC-168,聯絡我們表單模組,邊界值,Message 輸入超長文字,正常處理不崩潰,,
TC-169,聯絡我們表單模組,等價類,上傳檔案 Choose File,檔案可選取附加,,
TC-170,聯絡我們表單模組,等價類,不上傳檔案直接送出,可成功送出,,
TC-171,聯絡我們表單模組,安全性,Name 欄輸入 XSS 字串,被轉義不執行,,
TC-172,聯絡我們表單模組,安全性,Message 欄輸入 SQL 注入,安全處理不外洩,,
TC-173,聯絡我們表單模組,等價類,Name 含中文字元,正確處理不亂碼,,
TC-174,聯絡我們表單模組,等價類,Message 含特殊字元/換行,正確保存送出,,
TC-175,聯絡我們表單模組,場景法,送出後彈出確認 OK 視窗,點 OK 完成提交,,
TC-176,聯絡我們表單模組,場景法,送出成功後 Home 返回首頁,正確返回,,
TC-177,聯絡我們表單模組,邊界值,Subject 單一字元,可接受送出,,
TC-178,聯絡我們表單模組,邊界值,上傳超大檔案,依限制提示或處理,,
TC-179,聯絡我們表單模組,等價類,上傳非預期副檔名,依規則處理,,
TC-180,聯絡我們表單模組,相容性,行動裝置填寫聯絡表單,版面正常,,
TC-181,聯絡我們表單模組,等價類,Email 前後含空白,trim 後處理或提示,,
TC-182,聯絡我們表單模組,場景法,重複送出同一表單,皆能正確處理,,
