編號,模組,測試方法,輸入/操作,預期輸出,真實輸出,測試結論
TC-183,訂閱與其他功能模組,等價類,頁尾輸入有效 Email 訂閱,顯示 successfully subscribed!,,
TC-184,訂閱與其他功能模組,邊界值,訂閱 Email 空白送出,必填提示，無法送出,,
TC-185,訂閱與其他功能模組,等價類,訂閱 Email 格式錯誤,格式驗證提示,,
TC-186,訂閱與其他功能模組,等價類,重複 Email 再次訂閱,正確處理(成功或提示),,
TC-187,訂閱與其他功能模組,安全性,訂閱欄輸入 XSS 字串,被轉義不執行,,
TC-188,訂閱與其他功能模組,場景法,首頁頁尾訂閱,訂閱成功,,
TC-189,訂閱與其他功能模組,場景法,購物車頁頁尾訂閱,訂閱成功,,
TC-190,訂閱與其他功能模組,場景法,點右下 Scroll Up 箭頭,頁面捲回頂部,,
TC-191,訂閱與其他功能模組,場景法,進入 Test Cases 頁,顯示測試案例清單頁,,
TC-192,訂閱與其他功能模組,場景法,進入 API Testing 頁,顯示 API List 頁,,
TC-193,訂閱與其他功能模組,場景法,進入 Video Tutorials,導向教學影片,,
TC-194,訂閱與其他功能模組,場景法,點頂部導覽 Home,返回首頁,,
TC-195,訂閱與其他功能模組,場景法,點導覽 Products,進入商品頁,,
TC-196,訂閱與其他功能模組,場景法,點導覽 Cart,進入購物車頁,,
TC-197,訂閱與其他功能模組,場景法,點導覽 Signup / Login,進入登入頁,,
TC-198,訂閱與其他功能模組,場景法,點導覽 Contact us,進入聯絡頁,,
TC-199,訂閱與其他功能模組,相容性,行動裝置檢視首頁 RWD,版面正常自適應,,
TC-200,訂閱與其他功能模組,相容性,Firefox 檢視首頁,顯示正常,,
TC-201,訂閱與其他功能模組,等價類,首頁輪播圖正常顯示,圖片不破圖,,
TC-202,訂閱與其他功能模組,場景法,頁尾連結可正常點擊,導向正確頁面,,
TC-203,訂閱與其他功能模組,等價類,訂閱 Email 含中文網域,依規則處理,,
TC-204,訂閱與其他功能模組,場景法,登入狀態下訂閱電子報,訂閱成功,,
TC-205,訂閱與其他功能模組,場景法,未登入狀態下訂閱電子報,訂閱成功,,
