編號,模組,測試方法,輸入/操作,預期輸出,真實輸出,測試結論
TC-109,購物車模組,場景法,將單一商品加入購物車,顯示 Added! 並可於購物車看到,,
TC-110,購物車模組,場景法,加入多個不同商品,購物車列出所有商品,,
TC-111,購物車模組,場景法,同商品加入多次,數量正確累加,,
TC-112,購物車模組,判定表,購物車修改數量(經詳情頁重加),數量更新正確,,
TC-113,購物車模組,場景法,購物車移除單一商品 X,該商品自清單移除,,
TC-114,購物車模組,場景法,移除購物車所有商品,顯示空購物車,,
TC-115,購物車模組,邊界值,空購物車按 Proceed To Checkout,提示空車或無法結帳,,
TC-116,購物車模組,等價類,購物車顯示單價/數量/小計,金額計算正確,,
TC-117,購物車模組,判定表,總計 = 各項小計加總,Total 金額正確,,
TC-118,購物車模組,場景法,未登入點 Proceed To Checkout,提示註冊/登入,,
TC-119,購物車模組,場景法,登入後購物車 Proceed To Checkout,進入結帳位址確認頁,,
TC-120,購物車模組,場景法,加入商品後登出再登入,購物車內容依規則保留,,
TC-121,購物車模組,場景法,加入後重新整理頁面,購物車內容保留,,
TC-122,購物車模組,邊界值,加入大量商品(10+項),清單正確顯示不崩潰,,
TC-123,購物車模組,場景法,從搜尋結果加入購物車,成功加入,,
TC-124,購物車模組,場景法,從 Recommended items 加入,成功加入,,
TC-125,購物車模組,場景法,購物車 Continue Shopping,返回商品頁繼續購物,,
TC-126,購物車模組,等價類,購物車數量徽章更新,Cart 數字正確,,
TC-127,購物車模組,判定表,移除部分商品後總計重算,Total 正確更新,,
TC-128,購物車模組,相容性,行動裝置檢視購物車,版面正常,,
TC-129,購物車模組,場景法,詳情頁加入後彈窗 View Cart,正確導向購物車,,
TC-130,購物車模組,場景法,詳情頁加入後 Continue Shopping,關閉彈窗續逛,,
TC-131,購物車模組,等價類,購物車商品圖片/名稱正確,對應商品無誤,,
TC-132,購物車模組,場景法,刪除商品後再加入同商品,正確重新加入,,
TC-133,購物車模組,邊界值,極短時間連點加入,數量計算正確不重複異常,,
TC-134,購物車模組,場景法,結帳前於購物車檢視明細,明細與下單一致,,
